CCDC6	32	48	G	0.875	474	0.0843881856540084
CUL9	1661	1685	E	0.7083	2517	0.664680174811283
GSX2	147	162	A	1	304	0.508223684210526
GSX2	124	139	H	0.7333	304	0.432565789473684
RGMB	29	43	L	0.7143	437	0.0823798627002288
CPEB3	13	27	Q	0.7143	698	0.0286532951289398
CPEB3	224	238	A	0.7857	698	0.330945558739255
IN80B	36	50	K	0.7857	356	0.120786516853933
MMP25	1	15	L	0.7143	562	0.0142348754448399
RHBT2	706	724	S	0.7222	727	0.983493810178817
OXYR	235	249	A	0.7143	389	0.622107969151671
SEAS1	92	106	G	0.7143	156	0.634615384615385
CHD5	202	216	A	0.7143	1954	0.106960081883316
FX4L4	31	45	E	0.7143	416	0.0913461538461539
MEGF9	24	38	A	0.7857	602	0.0514950166112957
SNPC5	81	95	E	0.7143	98	0.897959183673469
PDE4C	663	678	E	0.8	712	0.941713483146067
JIP2	88	103	E	0.8	824	0.115898058252427
NF2L1	475	519	S	0.7045	772	0.643782383419689
CERS3	341	355	E	0.7857	383	0.908616187989556
FEZF2	102	117	G	1	459	0.238562091503268
BRI3B	14	28	L	0.9286	251	0.0836653386454183
NMT2	44	58	K	0.7143	498	0.102409638554217
EGR2	295	309	A	0.7143	476	0.634453781512605
SOX11	219	233	D	0.7143	441	0.512471655328798
PLXA1	7	21	L	0.8571	1896	0.00738396624472574
DSG3	623	639	L	0.8125	999	0.631631631631632
ASXL3	2017	2046	P	0.8276	2248	0.903692170818505
FXL17	216	236	G	0.85	701	0.322396576319543
SHE	163	181	S	0.8889	495	0.347474747474747
PITM2	612	632	G	0.8	1349	0.46108228317272
DMRTA	53	67	A	0.7857	504	0.119047619047619
RNF34	220	234	D	0.7857	372	0.610215053763441
PCD10	206	223	G	0.8235	1040	0.20625
IL9R	424	438	S	0.7143	521	0.827255278310941
ANK3	3960	3978	T	0.9444	4377	0.906785469499657
PABP2	1	15	A	0.8571	306	0.0261437908496732
DPEP2	13	27	L	0.7143	486	0.0411522633744856
RMP	299	321	D	0.8182	535	0.579439252336449
SCC4	2	22	A	0.75	613	0.0195758564437194
ABCC9	949	963	E	0.7143	1549	0.617172369270497
TGFB1	6	21	L	0.7333	390	0.0346153846153846
PDXL2	162	188	E	0.8077	605	0.289256198347107
SRP68	9	35	G	0.8077	627	0.0350877192982456
CAC1A	2311	2325	Q	0.9286	2506	0.924980047885076
CAC1A	2205	2219	H	0.7857	2506	0.88268156424581
3BP5	23	40	E	0.7059	455	0.0692307692307692
K2C1	90	134	G	0.7727	644	0.173913043478261
